number of iterations required: 900
---utility for each state (row, column)---
(0, 0) - utility: 58.530
(0, 1) - utility: 63.818
(0, 2) - utility: 65.454
(0, 3) - utility: 63.871
(0, 4) - utility: 63.573
(0, 5) - utility: 65.296
(0, 6) - utility: 64.410
(0, 7) - utility: 62.347
(0, 8) - utility: 60.743
(0, 9) - utility: 59.861
(0, 10) - utility: 57.869
(0, 11) - utility: 54.562
(0, 12) - utility: 55.032
(0, 13) - utility: 61.988
(0, 17) - utility: 56.749
(0, 18) - utility: 60.714
(0, 20) - utility: 59.707
(0, 21) - utility: 59.389
(0, 22) - utility: 54.808
(0, 23) - utility: 54.879
(0, 24) - utility: 60.754
(0, 25) - utility: 62.487
(0, 26) - utility: 63.116
(0, 28) - utility: 62.379
(0, 29) - utility: 62.501
(0, 30) - utility: 58.839
(0, 31) - utility: 58.838
(0, 32) - utility: 59.493
(0, 37) - utility: 66.027
(0, 38) - utility: 64.901
(0, 39) - utility: 68.118
(0, 41) - utility: 41.253
(0, 42) - utility: 39.301
(0, 43) - utility: 38.779
(0, 44) - utility: 38.246
(0, 45) - utility: 37.882
(0, 46) - utility: 34.037
(0, 48) - utility: 49.313
(0, 50) - utility: 55.772
(0, 51) - utility: 64.235
(0, 52) - utility: 70.309
(0, 53) - utility: 70.150
(0, 54) - utility: 72.841
(0, 55) - utility: 78.520
(0, 56) - utility: 77.555
(0, 57) - utility: 75.341
(0, 58) - utility: 73.154
(0, 59) - utility: 65.858
(0, 60) - utility: 65.620
(0, 61) - utility: 66.634
(0, 62) - utility: 71.661
(0, 63) - utility: 65.445
(0, 64) - utility: 75.943
(0, 65) - utility: 73.348
(0, 66) - utility: 69.842
(0, 69) - utility: 55.131
(0, 71) - utility: 70.085
(0, 72) - utility: 69.171
(0, 73) - utility: 68.310
(0, 74) - utility: 68.677
(0, 75) - utility: 67.248
(0, 76) - utility: 67.868
(0, 77) - utility: 67.927
(0, 78) - utility: 65.344
(0, 79) - utility: 66.805
(0, 80) - utility: 68.695
(0, 81) - utility: 77.930
(0, 82) - utility: 78.661
(0, 83) - utility: 74.967
(0, 85) - utility: 74.230
(0, 86) - utility: 75.052
(0, 87) - utility: 74.198
(0, 90) - utility: 36.693
(0, 91) - utility: 50.503
(0, 92) - utility: 53.799
