number of iterations required: 161
---utility for each state (row, column)---
(0, 0) - utility: 79.972
(0, 3) - utility: 71.598
(0, 4) - utility: 69.679
(0, 5) - utility: 71.575
(0, 7) - utility: 73.508
(0, 8) - utility: 72.380
(0, 9) - utility: 71.840
(0, 10) - utility: 70.996
(0, 11) - utility: 72.567
(0, 12) - utility: 71.920
(0, 14) - utility: 65.098
(0, 15) - utility: 66.194
(0, 16) - utility: 67.195
(0, 17) - utility: 68.312
(0, 18) - utility: 69.485
(0, 19) - utility: 69.363
(0, 21) - utility: 75.427
(0, 22) - utility: 74.905
(0, 23) - utility: 76.146
(0, 24) - utility: 76.027
(0, 26) - utility: 71.708
(0, 27) - utility: 70.637
(0, 28) - utility: 71.552
(0, 30) - utility: 79.972
(0, 32) - utility: 71.731
(0, 33) - utility: 70.644
(0, 35) - utility: 71.393
(0, 36) - utility: 72.219
(0, 38) - utility: 79.972
(0, 39) - utility: 78.539
(0, 40) - utility: 77.642
(0, 42) - utility: 74.975
(0, 43) - utility: 76.225
(0, 44) - utility: 76.178
(0, 45) - utility: 78.811
(0, 46) - utility: 78.797
(0, 47) - utility: 78.663
(0, 48) - utility: 79.972
(0, 49) - utility: 79.972
(0, 51) - utility: 70.693
(0, 52) - utility: 69.538
(0, 53) - utility: 70.774
(0, 54) - utility: 70.782
(0, 55) - utility: 69.629
(0, 56) - utility: 68.512
(0, 57) - utility: 66.664
(0, 58) - utility: 66.403
(0, 59) - utility: 65.867
(0, 61) - utility: 67.851
(0, 62) - utility: 67.960
(0, 64) - utility: 68.428
(0, 65) - utility: 67.416
(0, 66) - utility: 66.203
(0, 67) - utility: 68.525
(0, 68) - utility: 69.805
(0, 71) - utility: 68.331
(0, 72) - utility: 70.064
(0, 73) - utility: 71.158
(0, 74) - utility: 73.434
(0, 75) - utility: 74.641
(0, 76) - utility: 76.021
(0, 77) - utility: 77.445
(0, 78) - utility: 79.972
(0, 79) - utility: 79.972
(0, 81) - utility: 74.030
(0, 82) - utility: 75.268
(0, 83) - utility: 74.188
(0, 84) - utility: 71.857
(0, 85) - utility: 74.265
(0, 86) - utility: 75.413
(0, 87) - utility: 75.484
(0, 88) - utility: 74.107
(0, 89) - utility: 74.047
(0, 90) - utility: 72.838
(0, 91) - utility: 73.599
(0, 93) - utility: 75.618
(0, 94) - utility: 74.898
(0, 95) - utility: 75.090
(0, 96) - utility: 74.159
(0, 97) - utility: 75.384
(0, 98) - utility: 75.448
(0, 99) - utility: 73.025
(1, 0) - utility: 78.365
(1, 1) - utility: 75.851
(1, 2) - utility: 74.451
(1, 3) - utility: 73.045
(1, 4) - utility: 71.598
(1, 5) - utility: 73.018
(1, 6) - utility: 73.983
(1, 7) - utility: 72.844
(1, 8) - utility: 73.083
(1, 9) - utility: 73.088
(1, 10) - utility: 73.105
(1, 11) - utility: 74.062
(1, 12) - utility: 73.049
(1, 13) - utility: 71.963
(1, 15) - utility: 68.528
